A,B,C,D
842.2299,952.4436,847.1649,865.2596
848.8099,893.2243,794.5255,861.9697
855.3898,857.0347,741.8861,865.2596
858.6797,827.4251,794.5255,870.1946
861.9697,853.7448,787.9456,857.0347
858.6797,801.1054,758.3359,861.9697
852.0998,801.1054,715.5665,858.6797
850.4548,880.0645,787.9456,860.3247
843.8749,853.7448,796.1705,858.6797
842.2299,1037.983,924.4789,861.9697
852.0998,853.7448,717.2114,868.5496
843.8749,853.7448,746.8211,866.9047
843.8749,853.7448,738.5962,865.2596
855.3898,880.0645,835.65,863.6147
858.6797,853.7448,842.2299,873.4846
858.6797,853.7448,809.3303,861.9697
847.1649,801.1054,819.2002,865.2596
855.3898,722.1464,690.8917,866.9047
857.0347,880.0645,853.7448,863.6147
858.6797,801.1054,751.756,865.2596
865.2596,853.7448,857.0347,866.9047
858.6797,906.3842,909.6741,865.2596
855.3898,748.4661,699.1166,868.5496
857.0347,853.7448,857.0347,866.9047
870.1946,801.1054,751.756,861.9697
861.9697,695.8267,646.4773,868.5496
857.0347,695.8267,699.1166,868.5496
852.0998,801.1054,857.0347,871.8396
843.8749,801.1054,804.3954,860.3247
860.3247,906.3842,962.3135,863.6147
861.9697,801.1054,699.1166,860.3247
845.5199,801.1054,751.756,868.5496
845.5199,853.7448,804.3954,853.7448
838.94,906.3842,909.6741,857.0347
843.8749,959.0236,909.6741,858.6797
858.6797,853.7448,699.1166,868.5496
863.6147,906.3842,909.6741,863.6147
860.3247,906.3842,909.6741,858.6797
861.9697,959.0236,909.6741,868.5496
865.2596,853.7448,804.3954,871.8396
858.6797,906.3842,909.6741,875.1295
850.4548,906.3842,909.6741,861.9697
848.8099,959.0236,1014.953,853.7448
847.1649,1011.663,1014.953,858.6797
858.6797,906.3842,804.3954,865.2596
858.6797,906.3842,909.6741,866.9047
857.0347,853.7448,804.3954,861.9697
848.8099,853.7448,804.3954,861.9697
840.585,801.1054,804.3954,861.9697
853.7448,801.1054,909.6741,871.8396
845.5199,853.7448,909.6741,860.3247
830.7151,853.7448,909.6741,853.7448
848.8099,906.3842,909.6741,855.3898
837.295,906.3842,804.3954,852.0998
845.5199,853.7448,804.3954,871.8396
853.7448,906.3842,804.3954,863.6147
858.6797,801.1054,646.4773,860.3247
863.6147,801.1054,646.4773,866.9047
861.9697,801.1054,646.4773,871.8396
855.3898,801.1054,646.4773,868.5496
857.0347,853.7448,751.756,868.5496
855.3898,1011.663,1067.592,865.2596
860.3247,801.1054,646.4773,873.4846
860.3247,801.1054,751.756,863.6147
853.7448,801.1054,699.1166,866.9047
858.6797,801.1054,699.1166,870.1946
870.1946,748.4661,646.4773,873.4846
857.0347,801.1054,804.3954,873.4846
852.0998,880.0645,804.3954,871.8396
865.2596,748.4661,646.4773,880.0645
853.7448,722.1464,646.4773,878.4195
860.3247,774.7858,804.3954,883.3544
860.3247,774.7858,804.3954,878.4195
850.4548,906.3842,909.6741,871.8396
860.3247,801.1054,751.756,878.4195
865.2596,801.1054,751.756,876.7745
868.5496,801.1054,804.3954,883.3544
866.9047,801.1054,804.3954,873.4846
865.2596,774.7858,804.3954,870.1946
857.0347,669.507,646.4773,873.4846
858.6797,853.7448,857.0347,865.2596
853.7448,827.4251,804.3954,871.8396
848.8099,906.3842,804.3954,863.6147
848.8099,906.3842,857.0347,857.0347
848.8099,801.1054,804.3954,868.5496
848.8099,853.7448,857.0347,860.3247
868.5496,853.7448,804.3954,870.1946
861.9697,748.4661,646.4773,873.4846
850.4548,748.4661,646.4773,880.0645
845.5199,853.7448,751.756,878.4195
847.1649,853.7448,699.1166,875.1295
848.8099,1011.663,909.6741,858.6797
840.585,853.7448,593.8379,853.7448
835.65,853.7448,751.756,857.0347
822.4902,906.3842,804.3954,843.8749
819.2002,959.0236,804.3954,830.7151
814.2653,853.7448,751.756,820.8452
799.4604,853.7448,751.756,812.6203
781.3657,801.1054,751.756,794.5255
774.7858,801.1054,804.3954,789.5906
764.9158,853.7448,699.1166,771.4958
755.046,801.1054,593.8379,763.2709
750.111,801.1054,593.8379,755.046
720.5014,906.3842,699.1166,736.9512
713.9214,853.7448,593.8379,733.6613
712.2765,1011.663,909.6741,728.7263
720.5014,959.0236,699.1166,740.2411
718.8564,853.7448,699.1166,730.3713
720.5014,959.0236,804.3954,732.0162
730.3713,906.3842,804.3954,743.5311
712.2765,906.3842,804.3954,733.6613
722.1464,906.3842,909.6741,753.401
728.7263,906.3842,804.3954,756.691
718.8564,959.0236,909.6741,756.691
733.6613,1011.663,909.6741,761.6259
745.1761,1011.663,909.6741,771.4958
751.756,842.2299,783.0106,783.0106
771.4958,868.5496,783.0106,794.5255
783.0106,842.2299,677.7319,802.7504
796.1705,815.9103,677.7319,815.9103
802.7504,710.6315,572.4532,832.36
817.5552,868.5496,835.65,838.94
834.005,815.9103,730.3713,848.8099
835.65,1000.148,1046.208,848.8099
857.0347,947.5087,835.65,870.1946
861.9697,842.2299,730.3713,871.8396
875.1295,868.5496,783.0106,891.5793
888.2894,842.2299,783.0106,896.5143
901.4492,815.9103,730.3713,896.5143
901.4492,736.9512,677.7319,911.3191
884.9995,842.2299,835.65,917.899
899.8043,868.5496,835.65,909.6741
896.5143,947.5087,940.9288,906.3842
903.0942,912.9641,809.3303,911.3191
914.6091,829.0701,756.691,924.4789
911.3191,832.36,756.691,931.0589
908.0292,804.3954,756.691,931.0589
916.254,797.8155,783.0106,932.7039
906.3842,681.0219,651.4122,934.3488
899.8043,810.9753,835.65,924.4789
917.899,814.2653,809.3303,917.899
903.0942,878.4195,861.9697,917.899
894.8693,937.6388,861.9697,914.6091
899.8043,815.9103,704.0516,917.899
906.3842,886.6444,888.2894,921.189
908.0292,840.585,756.691,921.189
911.3191,819.2002,783.0106,922.834
909.6741,845.5199,809.3303,909.6741
903.0942,825.7802,783.0106,917.899
906.3842,825.7802,730.3713,914.6091
904.7392,931.0589,835.65,926.124
893.2243,931.0589,783.0106,912.9641
901.4492,825.7802,677.7319,926.124
901.4492,825.7802,730.3713,926.124
889.9344,825.7802,677.7319,909.6741
889.9344,825.7802,730.3713,909.6741
880.0645,931.0589,835.65,906.3842
865.2596,878.4195,625.0925,904.7392
881.7095,878.4195,677.7319,911.3191
880.0645,931.0589,783.0106,906.3842
876.7745,983.6982,835.65,888.2894
883.3544,931.0589,783.0106,899.8043
880.0645,878.4195,783.0106,893.2243
883.3544,878.4195,783.0106,894.8693
888.2894,825.7802,783.0106,901.4492
893.2243,746.8211,625.0925,896.5143
898.1592,720.5014,625.0925,891.5793
889.9344,825.7802,730.3713,888.2894
888.2894,799.4604,730.3713,884.9995
878.4195,904.7392,835.65,880.0645
871.8396,852.0998,677.7319,881.7095
884.9995,799.4604,677.7319,889.9344
878.4195,799.4604,677.7319,880.0645
863.6147,773.1407,625.0925,878.4195
875.1295,773.1407,625.0925,881.7095
875.1295,667.862,519.8138,886.6444
871.8396,799.4604,783.0106,891.5793
881.7095,799.4604,730.3713,884.9995
865.2596,799.4604,730.3713,873.4846
857.0347,878.4195,730.3713,871.8396
865.2596,799.4604,677.7319,876.7745
866.9047,773.1407,730.3713,878.4195
866.9047,904.7392,730.3713,863.6147
870.1946,825.7802,572.4532,871.8396
866.9047,904.7392,835.65,861.9697
865.2596,957.3785,783.0106,866.9047
860.3247,825.7802,783.0106,868.5496
855.3898,852.0998,783.0106,863.6147
860.3247,799.4604,677.7319,865.2596
860.3247,799.4604,783.0106,868.5496
860.3247,825.7802,783.0106,870.1946
845.5199,773.1407,730.3713,855.3898
845.5199,825.7802,835.65,863.6147
853.7448,825.7802,835.65,873.4846
847.1649,852.0998,888.2894,870.1946
843.8749,825.7802,783.0106,876.7745
840.585,825.7802,783.0106,880.0645
838.94,825.7802,730.3713,871.8396
838.94,773.1407,625.0925,875.1295
843.8749,799.4604,625.0925,873.4846
842.2299,720.5014,519.8138,865.2596
840.585,825.7802,677.7319,868.5496
845.5199,799.4604,625.0925,858.6797
845.5199,931.0589,835.65,853.7448
847.1649,931.0589,835.65,855.3898
853.7448,799.4604,625.0925,868.5496
861.9697,878.4195,783.0106,884.9995
870.1946,852.0998,730.3713,888.2894
866.9047,825.7802,730.3713,855.3898
860.3247,694.1817,572.4532,857.0347
848.8099,852.0998,835.65,852.0998
847.1649,852.0998,783.0106,858.6797
860.3247,957.3785,993.5681,876.7745
852.0998,983.6982,888.2894,852.0998
850.4548,852.0998,677.7319,865.2596
850.4548,852.0998,730.3713,866.9047
857.0347,878.4195,730.3713,875.1295
866.9047,852.0998,730.3713,873.4846
870.1946,773.1407,730.3713,875.1295
853.7448,825.7802,783.0106,876.7745
860.3247,799.4604,730.3713,868.5496
852.0998,904.7392,888.2894,865.2596
860.3247,931.0589,888.2894,870.1946
873.4846,852.0998,783.0106,871.8396
852.0998,825.7802,783.0106,866.9047
847.1649,852.0998,783.0106,875.1295
857.0347,799.4604,730.3713,875.1295
857.0347,720.5014,625.0925,883.3544
858.6797,825.7802,888.2894,873.4846
852.0998,825.7802,835.65,870.1946
852.0998,773.1407,835.65,870.1946
847.1649,852.0998,888.2894,866.9047
848.8099,694.1817,677.7319,870.1946
838.94,773.1407,835.65,866.9047
842.2299,878.4195,888.2894,866.9047
845.5199,852.0998,888.2894,866.9047
834.005,904.7392,888.2894,866.9047
852.0998,878.4195,835.65,863.6147
843.8749,852.0998,783.0106,868.5496
850.4548,852.0998,888.2894,868.5496
861.9697,799.4604,730.3713,866.9047
863.6147,773.1407,730.3713,875.1295
875.1295,773.1407,730.3713,866.9047
875.1295,825.7802,783.0106,876.7745
866.9047,852.0998,835.65,871.8396
852.0998,957.3785,995.2131,863.6147
852.0998,904.7392,889.9344,860.3247
860.3247,799.4604,784.6556,871.8396
855.3898,799.4604,889.9344,871.8396
866.9047,799.4604,889.9344,876.7745
868.5496,799.4604,889.9344,875.1295
866.9047,746.8211,889.9344,875.1295
863.6147,852.0998,889.9344,866.9047
863.6147,799.4604,784.6556,861.9697
858.6797,904.7392,889.9344,857.0347
848.8099,957.3785,889.9344,853.7448
857.0347,852.0998,784.6556,866.9047
857.0347,852.0998,784.6556,865.2596
866.9047,852.0998,784.6556,870.1946
865.2596,799.4604,679.3769,870.1946
868.5496,694.1817,574.0981,875.1295
858.6797,746.8211,784.6556,868.5496
863.6147,852.0998,784.6556,861.9697
857.0347,931.0589,837.295,861.9697
843.8749,957.3785,837.295,855.3898
857.0347,852.0998,732.0162,865.2596
855.3898,852.0998,758.3359,866.9047
863.6147,852.0998,863.6147,876.7745
876.7745,852.0998,837.295,883.3544
868.5496,720.5014,705.6966,866.9047
830.7151,773.1407,705.6966,847.1649
838.94,852.0998,889.9344,853.7448
834.005,904.7392,916.254,850.4548
842.2299,878.4195,758.3359,853.7448
866.9047,852.0998,784.6556,871.8396
847.1649,852.0998,758.3359,852.0998
858.6797,852.0998,810.9753,871.8396
858.6797,773.1407,679.3769,876.7745
857.0347,746.8211,784.6556,865.2596
848.8099,878.4195,889.9344,848.8099
840.585,799.4604,837.295,863.6147
850.4548,957.3785,1100.492,865.2596
850.4548,904.7392,889.9344,871.8396
852.0998,931.0589,995.2131,866.9047
845.5199,931.0589,889.9344,860.3247
847.1649,931.0589,889.9344,865.2596
842.2299,931.0589,837.295,865.2596
843.8749,825.7802,837.295,866.9047
852.0998,878.4195,889.9344,865.2596
853.7448,773.1407,732.0162,866.9047
857.0347,773.1407,784.6556,871.8396
852.0998,852.0998,889.9344,873.4846
857.0347,878.4195,889.9344,870.1946
852.0998,878.4195,837.295,868.5496
830.7151,832.36,784.6556,861.9697
848.8099,871.8396,837.295,871.8396
848.8099,888.2894,837.295,865.2596
847.1649,838.94,784.6556,868.5496
847.1649,822.4902,784.6556,871.8396
848.8099,796.1705,732.0162,861.9697
852.0998,861.9697,837.295,863.6147
850.4548,845.5199,784.6556,847.1649
853.7448,852.0998,784.6556,853.7448
840.585,901.4492,784.6556,857.0347
832.36,865.2596,732.0162,863.6147
842.2299,911.3191,837.295,866.9047
845.5199,937.6388,837.295,861.9697
850.4548,898.1592,784.6556,858.6797
845.5199,746.8211,626.7375,857.0347
848.8099,773.1407,889.9344,858.6797
852.0998,799.4604,732.0162,853.7448
853.7448,878.4195,889.9344,860.3247
855.3898,931.0589,837.295,857.0347
852.0998,957.3785,837.295,868.5496
855.3898,878.4195,837.295,870.1946
853.7448,825.7802,732.0162,868.5496
855.3898,852.0998,784.6556,863.6147
850.4548,825.7802,784.6556,858.6797
853.7448,746.8211,679.3769,865.2596
843.8749,773.1407,732.0162,857.0347
863.6147,799.4604,784.6556,860.3247
845.5199,799.4604,784.6556,861.9697
837.295,852.0998,837.295,855.3898
838.94,825.7802,784.6556,845.5199
837.295,904.7392,837.295,850.4548
835.65,825.7802,784.6556,855.3898
837.295,825.7802,784.6556,855.3898
838.94,825.7802,679.3769,860.3247
838.94,825.7802,679.3769,853.7448
858.6797,720.5014,574.0981,866.9047
858.6797,825.7802,784.6556,861.9697
855.3898,825.7802,679.3769,866.9047
820.8452,773.1407,574.0981,852.0998
825.7802,931.0589,784.6556,838.94
832.36,773.1407,679.3769,845.5199
830.7151,878.4195,889.9344,840.585
834.005,931.0589,995.2131,852.0998
830.7151,773.1407,679.3769,863.6147
834.005,825.7802,889.9344,860.3247
847.1649,773.1407,784.6556,858.6797
863.6147,773.1407,784.6556,865.2596
853.7448,667.862,574.0981,865.2596
840.585,773.1407,679.3769,868.5496
843.8749,825.7802,679.3769,868.5496
842.2299,878.4195,679.3769,857.0347
838.94,878.4195,679.3769,852.0998
860.3247,773.1407,574.0981,863.6147
853.7448,825.7802,679.3769,873.4846
852.0998,773.1407,574.0981,873.4846
857.0347,773.1407,679.3769,863.6147
865.2596,720.5014,679.3769,873.4846
863.6147,825.7802,679.3769,863.6147
853.7448,773.1407,574.0981,868.5496
853.7448,878.4195,784.6556,875.1295
847.1649,878.4195,784.6556,863.6147
863.6147,773.1407,679.3769,865.2596
865.2596,825.7802,784.6556,866.9047
863.6147,825.7802,679.3769,871.8396
865.2596,720.5014,784.6556,865.2596
861.9697,667.862,784.6556,873.4846
870.1946,773.1407,1100.492,863.6147
858.6797,720.5014,995.2131,865.2596
843.8749,773.1407,1100.492,863.6147
838.94,825.7802,1100.492,858.6797
835.65,825.7802,995.2131,855.3898
848.8099,825.7802,995.2131,865.2596
871.8396,878.4195,995.2131,876.7745
876.7745,825.7802,889.9344,883.3544
848.8099,773.1407,784.6556,868.5496
850.4548,773.1407,679.3769,866.9047
838.94,825.7802,889.9344,860.3247
827.4251,825.7802,889.9344,861.9697
842.2299,825.7802,889.9344,876.7745
840.585,931.0589,995.2131,878.4195
840.585,830.7151,745.1761,858.6797
842.2299,955.7336,850.4548,858.6797
852.0998,868.5496,745.1761,861.9697
845.5199,809.3303,745.1761,868.5496
850.4548,784.6556,692.5367,880.0645
858.6797,787.9456,745.1761,888.2894
857.0347,806.0403,692.5367,886.6444
861.9697,740.2411,587.258,878.4195
852.0998,768.2058,745.1761,873.4846
842.2299,773.1407,745.1761,873.4846
842.2299,909.6741,955.7336,871.8396
850.4548,820.8452,797.8155,871.8396
857.0347,814.2653,797.8155,870.1946
853.7448,812.6203,797.8155,861.9697
847.1649,825.7802,797.8155,871.8396
845.5199,730.3713,692.5367,866.9047
843.8749,774.7858,745.1761,868.5496
847.1649,827.4251,745.1761,866.9047
855.3898,827.4251,692.5367,875.1295
848.8099,880.0645,745.1761,866.9047
850.4548,827.4251,639.8973,873.4846
832.36,880.0645,692.5367,861.9697
834.005,801.1054,587.258,860.3247
847.1649,880.0645,745.1761,870.1946
848.8099,722.1464,481.9792,876.7745
857.0347,748.4661,534.6186,866.9047
842.2299,827.4251,639.8973,858.6797
832.36,827.4251,639.8973,866.9047
834.005,853.7448,745.1761,852.0998
837.295,853.7448,745.1761,858.6797
843.8749,827.4251,692.5367,863.6147
852.0998,853.7448,797.8155,866.9047
855.3898,827.4251,745.1761,876.7745
847.1649,695.8267,639.8973,868.5496
845.5199,695.8267,797.8155,868.5496
845.5199,774.7858,903.0942,860.3247
845.5199,801.1054,1008.373,853.7448
840.585,880.0645,1008.373,852.0998
847.1649,827.4251,903.0942,855.3898
842.2299,801.1054,955.7336,863.6147
840.585,801.1054,903.0942,865.2596
843.8749,801.1054,903.0942,860.3247
848.8099,669.507,692.5367,871.8396
837.295,695.8267,850.4548,858.6797
830.7151,801.1054,903.0942,848.8099
843.8749,801.1054,903.0942,852.0998
838.94,1011.663,1113.652,843.8749
843.8749,827.4251,639.8973,860.3247
832.36,801.1054,745.1761,855.3898
842.2299,906.3842,850.4548,863.6147
845.5199,853.7448,850.4548,855.3898
857.0347,801.1054,692.5367,868.5496
853.7448,853.7448,850.4548,870.1946
838.94,853.7448,850.4548,861.9697
837.295,853.7448,850.4548,868.5496
843.8749,853.7448,903.0942,848.8099
845.5199,906.3842,903.0942,852.0998
840.585,801.1054,692.5367,861.9697
845.5199,801.1054,797.8155,866.9047
832.36,801.1054,745.1761,861.9697
842.2299,801.1054,745.1761,863.6147
848.8099,748.4661,639.8973,860.3247
857.0347,748.4661,692.5367,866.9047
860.3247,801.1054,745.1761,861.9697
848.8099,748.4661,639.8973,863.6147
842.2299,853.7448,850.4548,860.3247
842.2299,801.1054,745.1761,850.4548
848.8099,695.8267,534.6186,863.6147
853.7448,695.8267,639.8973,865.2596
847.1649,643.1873,534.6186,870.1946
852.0998,643.1873,534.6186,865.2596
852.0998,643.1873,534.6186,871.8396
847.1649,643.1873,534.6186,860.3247
848.8099,748.4661,639.8973,863.6147
857.0347,695.8267,639.8973,880.0645
853.7448,853.7448,955.7336,855.3898
840.585,801.1054,745.1761,843.8749
840.585,748.4661,639.8973,850.4548
838.94,801.1054,745.1761,853.7448
842.2299,801.1054,745.1761,855.3898
848.8099,748.4661,639.8973,866.9047
843.8749,643.1873,534.6186,843.8749
838.94,748.4661,639.8973,847.1649
852.0998,748.4661,639.8973,860.3247
850.4548,906.3842,745.1761,843.8749
838.94,748.4661,534.6186,852.0998
847.1649,748.4661,639.8973,855.3898
842.2299,748.4661,639.8973,865.2596
834.005,695.8267,639.8973,861.9697
857.0347,695.8267,639.8973,865.2596
853.7448,643.1873,639.8973,858.6797
840.585,801.1054,745.1761,857.0347
850.4548,748.4661,639.8973,866.9047
842.2299,906.3842,850.4548,858.6797
843.8749,906.3842,745.1761,860.3247
850.4548,748.4661,639.8973,863.6147
843.8749,906.3842,955.7336,858.6797
850.4548,789.5906,745.1761,865.2596
863.6147,819.2002,903.0942,866.9047
858.6797,771.4958,797.8155,868.5496
853.7448,787.9456,797.8155,868.5496
853.7448,733.6613,692.5367,878.4195
847.1649,838.94,850.4548,873.4846
860.3247,814.2653,797.8155,863.6147
858.6797,778.0757,797.8155,873.4846
842.2299,829.0701,850.4548,866.9047
857.0347,837.295,850.4548,868.5496
850.4548,815.9103,850.4548,873.4846
840.585,804.3954,797.8155,868.5496
857.0347,755.046,797.8155,876.7745
842.2299,809.3303,797.8155,865.2596
847.1649,819.2002,745.1761,866.9047
850.4548,807.6854,797.8155,863.6147
850.4548,866.9047,850.4548,861.9697
860.3247,860.3247,850.4548,860.3247
855.3898,840.585,745.1761,865.2596
857.0347,952.4436,797.8155,870.1946
866.9047,853.7448,692.5367,873.4846
861.9697,853.7448,850.4548,871.8396
865.2596,893.2243,850.4548,871.8396
858.6797,853.7448,850.4548,876.7745
853.7448,735.3062,745.1761,866.9047
863.6147,748.4661,797.8155,878.4195
858.6797,781.3657,797.8155,868.5496
860.3247,820.8452,903.0942,870.1946
855.3898,959.0236,903.0942,868.5496
848.8099,860.3247,745.1761,870.1946
850.4548,834.005,745.1761,873.4846
847.1649,761.6259,639.8973,873.4846
852.0998,883.3544,860.3247,871.8396
858.6797,751.756,597.1279,870.1946
861.9697,778.0757,860.3247,861.9697
853.7448,857.0347,912.9641,855.3898
847.1649,830.7151,912.9641,863.6147
848.8099,1041.273,1123.522,855.3898
853.7448,830.7151,702.4066,865.2596
847.1649,857.0347,860.3247,866.9047
847.1649,857.0347,860.3247,861.9697
852.0998,857.0347,912.9641,870.1946
853.7448,804.3954,860.3247,861.9697
852.0998,804.3954,965.6035,863.6147
848.8099,699.1166,597.1279,868.5496
843.8749,804.3954,755.046,866.9047
842.2299,857.0347,807.6854,858.6797
832.36,857.0347,755.046,857.0347
847.1649,830.7151,807.6854,858.6797
843.8749,883.3544,807.6854,855.3898
843.8749,935.9938,807.6854,857.0347
852.0998,935.9938,807.6854,861.9697
848.8099,778.0757,807.6854,868.5496
842.2299,883.3544,912.9641,865.2596
853.7448,883.3544,807.6854,860.3247
848.8099,988.6332,1018.243,852.0998
847.1649,988.6332,912.9641,853.7448
861.9697,830.7151,807.6854,860.3247
852.0998,935.9938,912.9641,863.6147
847.1649,830.7151,807.6854,866.9047
845.5199,883.3544,912.9641,868.5496
847.1649,778.0757,807.6854,866.9047
845.5199,830.7151,912.9641,865.2596
835.65,883.3544,912.9641,863.6147
838.94,935.9938,1018.243,857.0347
834.005,935.9938,912.9641,850.4548
837.295,778.0757,597.1279,858.6797
842.2299,830.7151,597.1279,858.6797
835.65,778.0757,491.8491,860.3247
845.5199,830.7151,597.1279,868.5496
847.1649,778.0757,597.1279,861.9697
842.2299,672.7969,491.8491,870.1946
857.0347,830.7151,702.4066,861.9697
868.5496,830.7151,597.1279,866.9047
832.36,830.7151,702.4066,850.4548
824.1351,830.7151,702.4066,848.8099
840.585,935.9938,807.6854,868.5496
837.295,935.9938,807.6854,853.7448
863.6147,883.3544,702.4066,868.5496
842.2299,830.7151,702.4066,853.7448
848.8099,830.7151,807.6854,863.6147
857.0347,725.4363,807.6854,870.1946
852.0998,672.7969,912.9641,860.3247
840.585,778.0757,1123.522,861.9697
837.295,567.5182,702.4066,858.6797
847.1649,830.7151,1123.522,858.6797
842.2299,778.0757,912.9641,861.9697
838.94,725.4363,912.9641,865.2596
834.005,883.3544,1123.522,865.2596
848.8099,830.7151,912.9641,866.9047
860.3247,830.7151,912.9641,860.3247
861.9697,778.0757,807.6854,861.9697
848.8099,778.0757,807.6854,863.6147
852.0998,725.4363,702.4066,868.5496
845.5199,725.4363,702.4066,861.9697
840.585,830.7151,807.6854,861.9697
852.0998,830.7151,912.9641,866.9047
840.585,883.3544,912.9641,860.3247
852.0998,725.4363,597.1279,861.9697
853.7448,725.4363,649.7672,865.2596
852.0998,725.4363,597.1279,873.4846
850.4548,672.7969,544.4885,873.4846
845.5199,672.7969,597.1279,880.0645
847.1649,620.1576,439.2097,871.8396
843.8749,725.4363,649.7672,863.6147
842.2299,672.7969,649.7672,868.5496
840.585,778.0757,807.6854,866.9047
840.585,778.0757,807.6854,866.9047
837.295,725.4363,649.7672,865.2596
842.2299,778.0757,755.046,865.2596
845.5199,778.0757,702.4066,863.6147
848.8099,778.0757,702.4066,871.8396
837.295,725.4363,597.1279,866.9047
843.8749,883.3544,807.6854,857.0347
832.36,883.3544,755.046,857.0347
840.585,883.3544,807.6854,860.3247
853.7448,883.3544,807.6854,853.7448
853.7448,883.3544,807.6854,863.6147
848.8099,883.3544,860.3247,861.9697
852.0998,935.9938,912.9641,863.6147
847.1649,883.3544,702.4066,870.1946
847.1649,883.3544,702.4066,866.9047
855.3898,830.7151,544.4885,870.1946
847.1649,883.3544,860.3247,858.6797
847.1649,883.3544,807.6854,866.9047
843.8749,883.3544,807.6854,860.3247
852.0998,988.6332,912.9641,857.0347
855.3898,830.7151,702.4066,853.7448
855.3898,883.3544,860.3247,863.6147
850.4548,883.3544,755.046,858.6797
845.5199,830.7151,649.7672,863.6147
860.3247,778.0757,702.4066,883.3544
858.6797,883.3544,702.4066,870.1946
865.2596,883.3544,702.4066,878.4195
850.4548,988.6332,860.3247,858.6797
850.4548,988.6332,755.046,857.0347
850.4548,830.7151,755.046,870.1946
861.9697,935.9938,860.3247,873.4846
863.6147,883.3544,702.4066,881.7095
843.8749,830.7151,544.4885,861.9697
861.9697,778.0757,544.4885,880.0645
847.1649,883.3544,755.046,870.1946
850.4548,883.3544,702.4066,868.5496
861.9697,883.3544,860.3247,876.7745
850.4548,883.3544,807.6854,857.0347
853.7448,778.0757,597.1279,855.3898
850.4548,883.3544,807.6854,866.9047
850.4548,778.0757,702.4066,861.9697
855.3898,725.4363,597.1279,870.1946
842.2299,725.4363,597.1279,880.0645
858.6797,778.0757,702.4066,876.7745
855.3898,725.4363,597.1279,873.4846
852.0998,672.7969,597.1279,866.9047
866.9047,778.0757,807.6854,861.9697
858.6797,725.4363,702.4066,863.6147
845.5199,883.3544,912.9641,866.9047
850.4548,778.0757,702.4066,865.2596
852.0998,778.0757,702.4066,865.2596
852.0998,778.0757,702.4066,870.1946
861.9697,778.0757,702.4066,871.8396
858.6797,725.4363,702.4066,868.5496
870.1946,712.2765,736.9512,875.1295
860.3247,863.6147,868.5496,868.5496
848.8099,797.8155,789.5906,861.9697
848.8099,982.0533,921.189,870.1946
853.7448,840.585,710.6315,871.8396
868.5496,801.1054,710.6315,878.4195
863.6147,768.2058,684.3118,875.1295
855.3898,801.1054,763.2709,873.4846
850.4548,738.5962,763.2709,868.5496
840.585,827.4251,894.8693,860.3247
834.005,810.9753,789.5906,861.9697
837.295,778.0757,736.9512,860.3247
837.295,840.585,763.2709,858.6797
840.585,830.7151,763.2709,857.0347
855.3898,834.005,763.2709,857.0347
852.0998,870.1946,789.5906,850.4548
845.5199,886.6444,789.5906,863.6147
847.1649,820.8452,789.5906,857.0347
845.5199,840.585,789.5906,868.5496
845.5199,807.6854,789.5906,870.1946
855.3898,847.1649,842.2299,865.2596
860.3247,735.3062,736.9512,868.5496
858.6797,794.5255,789.5906,857.0347
857.0347,873.4846,894.8693,863.6147
848.8099,886.6444,894.8693,860.3247
845.5199,893.2243,842.2299,863.6147
852.0998,880.0645,842.2299,863.6147
858.6797,794.5255,631.6724,870.1946
858.6797,774.7858,684.3118,866.9047
865.2596,853.7448,789.5906,866.9047
858.6797,643.1873,579.0331,875.1295
857.0347,820.8452,842.2299,860.3247
855.3898,801.1054,736.9512,868.5496
835.65,906.3842,947.5087,861.9697
845.5199,959.0236,947.5087,866.9047
857.0347,853.7448,789.5906,865.2596
866.9047,853.7448,842.2299,861.9697
853.7448,801.1054,736.9512,860.3247
848.8099,801.1054,736.9512,860.3247
847.1649,801.1054,789.5906,855.3898
843.8749,906.3842,894.8693,858.6797
857.0347,853.7448,789.5906,861.9697
852.0998,906.3842,789.5906,861.9697
850.4548,801.1054,736.9512,868.5496
855.3898,801.1054,736.9512,865.2596
853.7448,853.7448,789.5906,860.3247
848.8099,853.7448,736.9512,855.3898
840.585,906.3842,842.2299,860.3247
835.65,959.0236,894.8693,855.3898
852.0998,801.1054,579.0331,861.9697
855.3898,748.4661,579.0331,863.6147
850.4548,748.4661,579.0331,870.1946
850.4548,695.8267,579.0331,868.5496
853.7448,643.1873,473.7543,876.7745
850.4548,748.4661,789.5906,863.6147
855.3898,748.4661,684.3118,853.7448
857.0347,853.7448,894.8693,860.3247
852.0998,906.3842,894.8693,852.0998
855.3898,748.4661,684.3118,863.6147
840.585,801.1054,789.5906,871.8396
852.0998,801.1054,789.5906,865.2596
850.4548,801.1054,789.5906,863.6147
860.3247,801.1054,789.5906,871.8396
865.2596,801.1054,684.3118,863.6147
857.0347,853.7448,789.5906,863.6147
840.585,827.4251,684.3118,865.2596
840.585,972.1834,894.8693,858.6797
852.0998,853.7448,789.5906,871.8396
845.5199,827.4251,736.9512,865.2596
861.9697,847.1649,736.9512,875.1295
866.9047,794.5255,736.9512,871.8396
853.7448,748.4661,684.3118,875.1295
843.8749,755.046,736.9512,863.6147
857.0347,794.5255,736.9512,868.5496
848.8099,814.2653,842.2299,871.8396
866.9047,899.8043,894.8693,883.3544
847.1649,853.7448,736.9512,855.3898
